f1_mean,f1_std,roc_auc_mean,roc_auc_std,precision_mean,precision_std,recall_mean,recall_std,model,strategy
0.6284685706637031,0.01811678623421994,0.8469414655252733,0.011289645920523651,0.5207585888230117,0.015763769572314363,0.7926421404682275,0.026164023030913624,logistic_regression,class_weight_balanced
0.6222624036823914,0.02238630316027309,0.8394793899781522,0.011718642827460496,0.5198344640674258,0.019316354655107747,0.7752508361204014,0.030754686107217807,logistic_regression,smote
0.6221517438703337,0.02180696297117688,0.8395465427706681,0.011435844970036108,0.5181801013664786,0.019372256043774877,0.7785953177257526,0.02872362615864067,logistic_regression,smote_tomek
0.5999891711235057,0.02218075669231955,0.8253980286530694,0.006180516404410621,0.5590570906115904,0.018054645520102004,0.6474916387959867,0.028268289778080834,lightgbm,class_weight_balanced
0.5949799040192204,0.028132099569148354,0.8470909277432046,0.011532689098180088,0.6742775282189638,0.02464857554320526,0.5331103678929765,0.035621476804533383,logistic_regression,baseline
0.5918629032091048,0.013183088653480264,0.823940656272827,0.01133924285930491,0.5760402996585247,0.01369483719000854,0.6086956521739131,0.015105805739981548,random_forest,smote_tomek
0.5896059250267907,0.02288901672815492,0.8249870603030611,0.009366842384673104,0.5810863774812345,0.019758102220441193,0.5986622073578596,0.028925415799919287,random_forest,smote
0.5710552000462601,0.018800672454835365,0.8209732125171125,0.00785071565287004,0.5872599272916474,0.01800802710545257,0.5558528428093645,0.02129991080681023,lightgbm,smote
0.5652676416934828,0.014276097313608745,0.8199488928614975,0.008430329491696354,0.5750741381859663,0.013571317195798883,0.5558528428093645,0.016025616790248737,lightgbm,smote_tomek
0.553479560341062,0.017762134406612694,0.8205945711863656,0.008343646258450575,0.6048691303790699,0.02144894681189731,0.5103678929765886,0.018512846157990686,lightgbm,baseline
0.5521254557992762,0.021401891022558257,0.8267564316198778,0.011508202155702522,0.6408986268245854,0.03985327284226019,0.4856187290969899,0.016709024744878648,random_forest,baseline
0.5452069181262373,0.02597545650710302,0.8281210130929434,0.010475977044684115,0.6397940238047829,0.04170782419797869,0.47558528428093644,0.022225080569680474,random_forest,class_weight_balanced
